city,code,flight_number,source_id,destination_id,departure_datetime,arrival_datetime,total_seats,price,class_name,seat_class_id,class_total_Seats,class_available_seats,seat_class_id,multiplier
Dubai,DXB,OQ803,4,11,2025-08-07 17:32:26,2025-08-08 02:32:26,281,2404.05,First Class,0,76,12,0,1.78
Dubai,DXB,OQ803,4,11,2025-08-07 17:32:26,2025-08-08 02:32:26,281,2404.05,Second Class,1,60,9,1,1.83
Dubai,DXB,OQ803,4,11,2025-08-07 17:32:26,2025-08-08 02:32:26,281,2404.05,Economy,2,93,23,2,1.04
London,LON,JK014,1,4,2025-07-29 23:35:19,2025-07-30 05:35:19,151,4440.18,First Class,0,46,4,0,1.29
London,LON,JK014,1,4,2025-07-29 23:35:19,2025-07-30 05:35:19,151,4440.18,Second Class,1,46,37,1,2.43
London,LON,JK014,1,4,2025-07-29 23:35:19,2025-07-30 05:35:19,151,4440.18,Economy,2,60,38,2,2.99
San Francisco,SFO,MS637,8,13,2025-07-21 15:58:34,2025-07-21 21:58:34,204,5365.7,First Class,0,96,54,0,2.2
San Francisco,SFO,MS637,8,13,2025-07-21 15:58:34,2025-07-21 21:58:34,204,5365.7,Second Class,1,65,16,1,2.13
San Francisco,SFO,MS637,8,13,2025-07-21 15:58:34,2025-07-21 21:58:34,204,5365.7,Economy,2,91,84,2,2.83
London,LON,MX744,1,8,2025-07-29 01:47:12,2025-07-29 04:47:12,255,9632.17,First Class,0,79,38,0,1.06
London,LON,MX744,1,8,2025-07-29 01:47:12,2025-07-29 04:47:12,255,9632.17,Second Class,1,73,58,1,1.16
London,LON,MX744,1,8,2025-07-29 01:47:12,2025-07-29 04:47:12,255,9632.17,Economy,2,60,24,2,2.56
Sydney,SYD,DW663,6,0,2025-07-24 18:18:27,2025-07-24 22:18:27,205,2097.7,First Class,0,47,31,0,1.45
Sydney,SYD,DW663,6,0,2025-07-24 18:18:27,2025-07-24 22:18:27,205,2097.7,Second Class,1,33,14,1,2.88
Sydney,SYD,DW663,6,0,2025-07-24 18:18:27,2025-07-24 22:18:27,205,2097.7,Economy,2,98,53,2,2.99
Berlin,BER,EH499,10,12,2025-08-09 18:11:18,2025-08-10 00:11:18,277,8604.37,First Class,0,31,31,0,1.74
